_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
36.50145519,-15.34124674,11348,02 26 00.38,-15 20 28.0,5.88,36.50156687,-15.34111517,15.24,-44.31,-54.13,0.95,0.116, ,36.50145519,-15.34124674
36.64674012,-20.04261694,11381,02 26 35.16,-20 02 34.3,5.89,36.64651715,-20.04286354,11.47,86.18,101.46,0.73,1.247, ,36.64674012,-20.04261694
36.74634294,-47.70384014,11407,02 26 59.10,-47 42 13.8,4.24,36.74627081,-47.70382692,6.17,19.97,-5.44,0.6,-0.136, ,36.74634294,-47.70384014
36.86571544,31.80128023,11432,02 27 27.79,+31 48 04.9,5.55,36.86578353,31.80134872,11.39,-23.81,-28.18,1.04,1.114, ,36.86571544,31.80128023
37.00709608,-33.81103904,11477,02 28 01.69,-33 48 39.8,5.13,37.00704179,-33.81105246,21.35,18.56,5.52,0.65,0.089, ,37.00709608,-33.81103904
37.03976038,8.460053554,11484,02 28 09.52,+08 27 36.3,4.3,37.03965786,8.4600887,18.53,41.72,-14.46,1.75,-0.053, ,37.03976038,8.46005355
37.041585,29.66933047,11486,02 28 09.99,+29 40 10.3,5.29,37.04162643,29.66953828,21.01,-14.81,-85.5,0.83,0.311, ,37.041585,29.66933047
37.20206105,29.93176028,11548,02 28 48.54,+29 55 53.7,5.89,37.20224439,29.93158402,32.48,-65.37,72.52,0.84,0.591, ,37.20206105,29.93176028
37.26644081,67.40247393,11569,02 29 03.99,+67 24 08.6,4.46,37.26661741,67.40238385,23.04,-27.92,37.06,0.8,0.153,P,37.26644081,67.40247393
37.63480803,25.23503642,11670,02 30 32.31,+25 14 06.8,5.88,37.63464227,25.23521368,19.59,61.69,-72.93,1.13,0.412, ,37.63480803,25.23503642
37.87539846,2.267181612,11738,02 31 30.08,+02 16 01.9,5.27,37.87534312,2.26720689,6.85,22.75,-10.4,0.98,1.271, ,37.87539846,2.26718161
37.91893415,-79.10938186,11757,02 31 40.12,-79 06 33.3,5.27,37.91716991,-79.10924959,11.18,137.14,-54.42,0.48,0.981, ,37.91893415,-79.10938186
37.95451535,89.26410951,11767,02 31 47.08,+89 15 50.9,1.97,37.94614689,89.26413805,7.56,44.22,-11.74,0.48,0.636,P,37.95451535,89.26410951
38.02178461,-15.2446768,11783,02 32 05.28,-15 14 39.6,4.74,38.02198846,-15.2443199,38.73,-80.92,-146.84,0.87,0.454, ,38.02178461,-15.2446768
38.02571027,36.14727125,11784,02 32 06.14,+36 08 50.0,5.15,38.02556633,36.14723132,8.33,47.82,16.43,0.84,1.472, ,38.02571027,36.14727125
38.03925366,-1.034896114,11791,02 32 09.44,-01 02 05.3,5.36,38.03931801,-1.03481751,12.27,-26.47,-32.34,1.13,1.004, ,38.03925366,-1.03489611
38.21924713,34.5424097,11840,02 32 52.66,+34 32 32.8,5.84,38.21940851,34.54245642,12.54,-54.69,-19.22,1.2,1.083, ,38.21924713,34.5424097
38.27927736,-34.64996687,11867,02 33 07.04,-34 38 59.7,5.91,38.2793288,-34.64992327,8.58,-17.41,-17.94,0.66,1.064, ,38.27927736,-34.64996687
38.46126669,-28.2323435,11918,02 33 50.71,-28 13 56.4,4.96,38.4613017,-28.2323401,7.19,-12.69,-1.4,0.78,-0.05, ,38.46126669,-28.2323435
38.67760483,-7.859445149,12002,02 34 42.59,-07 51 33.4,5.74,38.67745683,-7.8592885,5.94,60.32,-64.45,0.88,1.393, ,38.67760483,-7.85944515
38.91142353,37.31226284,12072,02 35 38.74,+37 18 44.2,5.72,38.91142631,37.3122905,4.82,-0.91,-11.38,0.92,1.389, ,38.91142353,37.31226284
38.94504727,34.68755845,12086,02 35 46.80,+34 41 15.7,5.38,38.94498948,34.68768289,-0.6,19.55,-51.2,8.71,1.652, ,38.94504727,34.68755845
38.96863365,5.593246311,12093,02 35 52.49,+05 35 35.9,4.87,38.9687042,5.59330163,8.77,-28.89,-22.76,1.11,0.88, ,38.96863365,5.59324631
39.0002013,-7.831597168,12107,02 36 00.07,-07 49 53.2,5.53,39.00028366,-7.83145306,6.31,-33.57,-59.29,0.87,1.607, ,39.0002013,-7.83159717
39.02039079,6.886870286,12114,02 36 03.83,+06 53 00.1,5.79,39.01596864,6.88336423,138.72,1806.27,1442.5,1.04,0.918, ,39.02039079,6.88687029
39.03860711,-30.04497764,12122,02 36 09.28,-30 02 41.9,5.74,39.03865189,-30.04496366,5.02,-15.95,-5.75,0.7,1.017, ,39.0386071,-30.04497764
39.14612752,7.730026058,12148,02 36 35.10,+07 43 48.3,5.81,39.14626535,7.73007761,11.18,-56.19,-21.21,0.93,1.04, ,39.14612752,7.73002606
39.15798197,12.44763871,12153,02 36 37.75,+12 26 52.2,5.64,39.1572862,12.44784628,28.4,279.53,-85.4,0.87,0.516, ,39.15798197,12.44763871
39.23828169,38.73358091,12181,02 36 57.08,+38 44 02.3,5.91,39.23782977,38.73398283,18.42,145.04,-165.36,0.81,0.502, ,39.23828169,38.73358091
39.24419965,-34.57797694,12186,02 36 58.62,-34 34 38.4,5.78,39.24425358,-34.57734519,39.16,-18.27,-259.92,0.64,0.653, ,39.24419965,-34.57797694
39.3515484,-52.5430859,12225,02 37 24.26,-52 32 35.1,5.3,39.35110362,-52.54308845,22.49,111.29,1.05,1.84,0.289, ,39.3515484,-52.5430859
39.40028258,65.74533624,12239,02 37 36.01,+65 44 43.3,5.8,39.40002834,65.74535775,4,42.97,-8.85,0.61,1.561, ,39.40028258,65.74533624
39.42416781,-3.396174736,12247,02 37 41.78,-03 23 45.8,5.65,39.42407297,-3.39606767,10.29,38.95,-44.05,0.97,1.021, ,39.42416781,-3.39617474
39.50846272,72.81825166,12273,02 38 02.09,+72 49 05.6,5.17,39.50870051,72.81821481,12.73,-28.9,15.16,0.54,0.896, ,39.50846272,72.81825166
39.57775943,-30.19406253,12288,02 38 18.60,-30 11 38.0,5.84,39.57748196,-30.19388274,27.99,98.67,-73.97,0.74,0.476, ,39.57775943,-30.19406253
39.7041439,21.96140834,12332,02 38 49.00,+21 57 41.2,5.45,39.70416245,21.96144509,9.41,-7.08,-15.12,1.53,0.168, ,39.7041439,21.96140834
39.87065299,0.328510651,12387,02 39 28.95,+00 19 42.7,4.08,39.87061789,0.3285168,5.04,14.44,-2.53,0.83,-0.212,P,39.87065299,0.32851065
39.89097607,-11.87215595,12390,02 39 33.73,-11 52 17.7,4.83,39.89054885,-11.87158159,36.99,172.01,-236.31,1.76,0.447, ,39.89097607,-11.87215595
39.897339,-68.26694624,12394,02 39 35.22,-68 16 01.0,4.12,39.8967653,-68.2669476,21.27,87.4,0.56,0.5,-0.061, ,39.897339,-68.26694624
39.94996945,-42.89166991,12413,02 39 47.92,-42 53 29.9,4.74,39.94966387,-42.89163328,25.15,92.11,-15.07,0.61,0.061, ,39.94996945,-42.89166991
40.05175765,-9.45287501,12444,02 40 12.50,-09 27 09.7,5.79,40.05209879,-9.45268375,46.42,-138.45,-78.69,0.82,0.524, ,40.05175765,-9.45287501
40.1650536,-54.54991148,12484,02 40 39.58,-54 32 59.7,5.21,40.16491631,-54.54992422,20.49,32.76,5.24,0.56,0.411, ,40.1650536,-54.54991148
40.1668101,-39.8553755,12486,02 40 39.93,-39 51 19.1,4.11,40.16638213,-39.85530905,22.42,135.17,-27.34,0.57,1.006, ,40.1668101,-39.8553755
40.17114788,27.0609427,12489,02 40 41.03,+27 03 39.6,5.3,40.17097186,27.06100903,13.97,64.49,-27.29,0.84,0.081, ,40.17114788,27.0609427
40.30832736,-0.695653019,12530,02 41 13.87,-00 41 43.3,5.72,40.30779517,-0.69534847,46.24,218.94,-125.3,1.31,0.511, ,40.30832736,-0.69565302
40.39220418,-14.54927595,12562,02 41 34.13,-14 32 57.9,5.98,40.39221887,-14.54941172,20.29,-5.85,55.86,0.94,0.429, ,40.39220418,-14.54927595
40.52752839,-38.38368632,12608,02 42 06.59,-38 23 01.4,5.99,40.52746495,-38.3837178,8.59,20.46,12.95,0.62,0.917, ,40.52752839,-38.38368632
40.56214992,40.19394381,12623,02 42 14.93,+40 11 39.8,4.91,40.5622035,40.19438688,40.52,-16.84,-182.29,1.25,0.582, ,40.56214992,40.19394381
40.5914154,20.0114649,12640,02 42 21.92,+20 00 41.7,5.74,40.59134429,20.0115769,9.64,27.49,-46.08,0.88,-0.017, ,40.5914154,20.0114649
40.63944366,-50.80029384,12653,02 42 33.16,-50 48 03.0,5.4,40.63816025,-50.80082665,58,333.73,219.21,0.55,0.561, ,40.63944366,-50.80029384
40.7480145,53.5261052,12686,02 42 59.47,+53 31 34.3,5.85,40.74778071,53.5261822,7.9,57.18,-31.68,0.73,1.125, ,40.7480145,53.5261052
40.76182552,55.10601929,12692,02 43 02.80,+55 06 21.9,5.76,40.76167775,55.10607111,7.76,34.78,-21.32,0.69,-0.11, ,40.76182552,55.10601929
40.8251625,3.235818533,12706,02 43 18.12,+03 14 10.2,3.47,40.82551897,3.23617162,39.78,-146.43,-145.27,0.95,0.093, ,40.8251625,3.23581853
40.86296995,27.70714655,12719,02 43 27.11,+27 42 25.8,4.65,40.86296031,27.70717078,8.82,3.51,-9.97,1.78,-0.122, ,40.86296995,27.70714655
41.02149903,44.29704002,12768,02 44 05.16,+44 17 49.4,5.43,41.02149224,44.2970548,4.71,2,-6.08,0.89,0.904, ,41.02149903,44.29704002
41.03062458,-13.85869636,12770,02 44 07.35,-13 51 31.2,4.24,41.03064356,-13.85867594,7.4,-7.58,-8.4,0.85,-0.122, ,41.03062458,-13.85869636
41.04994313,49.22844773,12777,02 44 11.69,+49 13 43.2,4.1,41.04869991,49.22866639,89.03,334.03,-89.96,0.79,0.514, ,41.04994313,49.22844773
41.13739078,15.31186153,12803,02 44 32.97,+15 18 42.8,5.78,41.13737997,15.31189952,6.76,4.29,-15.63,0.9,-0.024, ,41.13739078,15.31186153
41.20707139,67.82463015,12821,02 44 49.67,+67 49 29.0,5.95,41.20695883,67.82470926,8.02,17.48,-32.55,0.63,0.136, ,41.20707139,67.82463015
41.23559307,10.1141459,12828,02 44 56.37,+10 06 51.2,4.27,41.23488901,10.11421979,38.71,285.17,-30.4,1.31,0.311, ,41.23559307,10.1141459
41.23992306,12.44576098,12832,02 44 57.51,+12 26 45.5,5.17,41.23961417,12.44596709,26.15,124.1,-84.8,0.98,0.234,P,41.23992306,12.44576098
41.27577129,-18.57256259,12843,02 45 05.98,-18 34 21.5,4.47,41.27492276,-18.57265077,71.56,330.93,36.28,0.76,0.481, ,41.27577129,-18.57256259
41.3644922,-63.70455293,12871,02 45 27.45,-63 42 16.3,5.73,41.36438582,-63.70453152,18.23,19.39,-8.81,0.52,0.932, ,41.3644922,-63.70455293
41.38597694,-67.61661701,12876,02 45 32.53,-67 37 00.2,4.83,41.38555249,-67.616724,11.06,66.5,44.02,0.48,0.058, ,41.38597694,-67.61661701
41.94878463,81.44847547,13055,02 47 47.63,+81 26 55.2,5.8,41.94847766,81.44866603,6.54,18.78,-78.4,0.57,1.3, ,41.94878463,81.44847547
41.97725287,29.24711818,13061,02 47 54.44,+29 14 50.7,4.52,41.97683942,29.24742385,18.06,148.42,-125.76,0.84,1.112, ,41.97725287,29.24711818
42.13370521,18.28379052,13108,02 48 32.06,+18 17 01.9,5.83,42.13359632,18.28387012,6.5,42.54,-32.75,0.95,1.216, ,42.13370521,18.28379052
42.19126771,25.18806369,13121,02 48 45.87,+25 11 17.1,5.89,42.19112221,25.18807322,7.08,54.17,-3.92,0.88,-0.033, ,42.19126771,25.18806369
42.25619836,-62.80652153,13141,02 49 01.37,-62 48 23.7,5.25,42.2556956,-62.80659207,19.73,94.53,29.02,0.49,0.101, ,42.25619836,-62.80652153
42.27258148,-32.40589767,13147,02 49 05.36,-32 24 22.6,4.45,42.27233113,-32.40628403,19.31,86.96,158.96,0.67,0.981, ,42.27258148,-32.40589767
42.32316638,17.46430897,13165,02 49 17.56,+17 27 51.6,5.26,42.32315708,17.46434448,5.41,3.65,-14.61,1.06,-0.066, ,42.32316638,17.46430897
42.47575765,-27.94198156,13202,02 49 54.15,-27 56 31.3,5.39,42.47562958,-27.94203549,5.88,46.55,22.19,0.77,0.013, ,42.47575765,-27.94198156
42.49596812,27.26050706,13209,02 49 58.99,+27 15 38.8,3.61,42.49578911,27.26079044,20.45,65.47,-116.59,0.79,-0.1, ,42.49596812,27.26050706
42.56159976,-35.84363655,13225,02 50 14.75,-35 50 37.3,5.92,42.56144528,-35.84368582,6.52,51.52,20.27,0.64,0.899, ,42.56159976,-35.84363655
42.61858328,-75.06694714,13244,02 50 28.54,-75 04 00.8,4.76,42.6189035,-75.06688108,9.92,-33.95,-27.18,0.48,1.337, ,42.61858328,-75.06694714
42.64608204,38.31864364,13254,02 50 34.91,+38 19 08.1,4.22,42.64547584,38.31890838,25.54,195.68,-108.92,0.77,0.343, ,42.64608204,38.31864364
42.66836129,-35.67584879,13265,02 50 40.40,-35 40 32.6,5.48,42.66834974,-35.67571664,6.14,3.86,-54.37,0.62,1.259, ,42.66836129,-35.67584879
42.67420868,55.89549611,13268,02 50 41.79,+55 53 43.9,3.77,42.67413655,55.89552955,2.45,16.64,-13.76,0.75,1.69, ,42.67420868,55.89549611
42.7596731,-21.00401932,13288,02 51 02.35,-21 00 14.3,4.76,42.75977464,-21.0039789,17.85,-39,-16.63,0.69,0.906, ,42.7596731,-21.00401932
42.87327848,15.08207065,13327,02 51 29.57,+15 04 55.7,5.52,42.87319979,15.08212726,6.8,31.26,-23.29,0.89,-0.099, ,42.87327848,15.08207065
42.87848975,35.05974098,13328,02 51 30.83,+35 03 35.6,4.56,42.87846216,35.05989415,7.97,9.29,-63.02,1.1,1.554, ,42.87848975,35.05974098
42.92387512,46.84193945,13339,02 51 41.75,+46 50 31.2,5.86,42.92396836,46.84200204,8.21,-26.24,-25.75,0.79,0.903, ,42.92387512,46.84193945
42.99479856,68.88849697,13367,02 51 58.75,+68 53 18.7,5.94,42.99478506,68.88851683,2.31,2,-8.17,0.58,0.7, ,42.99479856,68.88849697
43.39332117,-38.43700368,13473,02 53 34.35,-38 26 13.5,5.93,43.39313847,-38.43708698,16.83,58.88,34.27,0.61,0.437, ,43.39332117,-38.43700368
43.39717892,-22.37630756,13479,02 53 35.27,-22 22 34.0,5.93,43.39695392,-22.37612257,10.73,85.6,-76.11,0.81,1.041, ,43.39717892,-22.37630756
43.42755662,38.33748839,13490,02 53 42.58,+38 20 15.6,5.34,43.42740906,38.33767914,13.87,47.62,-78.48,0.86,0.423, ,43.42755662,38.33748839
43.56441901,52.7624789,13531,02 54 15.46,+52 45 45.0,3.93,43.564427,52.76248991,13.15,-1.99,-4.53,0.85,0.758, ,43.56441901,52.7624789
43.95207421,18.33163983,13654,02 55 48.50,+18 19 54.0,5.76,43.9520949,18.33167607,8.08,-8.08,-14.91,0.89,1.452,P,43.95207421,18.33163983
43.98716905,61.52113777,13665,02 55 56.74,+61 31 15.8,5.59,43.98642959,61.52106281,37.78,145.07,30.84,0.69,0.445, ,43.98716905,61.52113777
44.05737361,8.381563403,13679,02 56 13.73,+08 22 54.4,5.97,44.05720205,8.38177807,22.46,69.83,-88.32,0.89,0.478, ,44.05737361,8.3815634
44.10687368,-8.898144458,13701,02 56 25.60,-08 53 51.4,3.89,44.10668245,-8.89760976,24.49,77.73,-219.99,0.72,1.088, ,44.10687368,-8.89814446
44.10897867,18.02311886,13702,02 56 25.98,+18 01 25.1,5.58,44.10825985,18.02365076,28.24,281.23,-218.84,0.93,0.471, ,44.10897867,18.02311886
44.15593438,-3.712319877,13717,02 56 37.45,-03 42 44.0,5.16,44.15602146,-3.71221461,17.28,-35.75,-43.31,0.93,0.084, ,44.15593438,-3.71231988
44.32201066,31.93421866,13775,02 57 17.28,+31 56 03.5,5.1,44.32200201,31.93429432,8.43,3.02,-31.13,0.9,-0.007,P,44.32201066,31.93421866
44.34902489,-23.86216374,13782,02 57 23.70,-23 51 43.5,5.44,44.34875521,-23.8620767,20.54,101.47,-35.81,0.71,0.238, ,44.34902489,-23.86216374
44.52175646,20.66873326,13834,02 58 05.08,+20 40 07.7,5.8,44.52114653,20.66881016,31.41,234.79,-31.64,0.84,0.415, ,44.52175646,20.66873326
44.52389062,-23.60601201,13835,02 58 05.69,-23 36 22.1,5.82,44.52369967,-23.60613828,4.99,71.99,51.95,0.74,1.334, ,44.52389062,-23.60601201
44.56531119,-40.30467242,13847,02 58 15.72,-40 18 17.0,2.88,44.5654818,-40.30473491,20.22,-53.53,25.71,0.54,0.128, ,44.56531119,-40.30467242
44.67532015,-2.782876858,13874,02 58 42.09,-02 46 57.8,5.22,44.67538999,-2.78272383,10.2,-28.7,-62.96,1,0.014, ,44.67532015,-2.78287686
44.69029205,39.66272854,13879,02 58 45.65,+39 39 46.2,4.68,44.69021034,39.66282739,10.02,25.88,-40.67,1.09,0.065, ,44.69029205,39.66272854
44.69915268,-64.07128407,13884,02 58 47.77,-64 04 16.7,4.98,44.69902505,-64.07129717,10.4,22.96,5.39,0.5,0.126, ,44.69915268,-64.07128407
44.76531915,35.18312827,13905,02 59 03.71,+35 10 59.2,4.94,44.7654574,35.18311415,9.31,-46.49,5.81,0.78,1.235, ,44.76531915,35.18312827
44.8030237,21.34042885,13914,02 59 12.73,+21 20 25.6,4.63,44.80305773,21.34044477,11.15,-13.04,-6.55,1.48,0.048, ,44.8030237,21.34042885
44.90076145,-25.27413271,13942,02 59 36.07,-25 16 27.6,5.69,44.90027293,-25.27433851,30.92,181.75,84.67,0.77,0.427, ,44.90076145,-25.27413271
44.9161641,41.03294069,13949,02 59 39.87,+41 01 59.0,5.89,44.91611677,41.03305347,4.18,14.69,-46.4,0.79,1.445, ,44.9161641,41.03294069
44.92149906,-2.464951544,13951,02 59 41.16,-02 27 53.6,5.56,44.92151015,-2.46490094,9.76,-4.56,-20.82,1.02,-0.072, ,44.92149906,-2.46495154
44.92875737,8.907364846,13954,02 59 42.90,+08 54 26.6,4.71,44.92873469,8.90740111,7.69,9.22,-14.92,0.76,-0.109, ,44.92875737,8.90736485
44.95746995,47.22069307,13965,02 59 49.78,+47 13 14.3,5.47,44.95742747,47.22063875,5.85,11.87,22.35,0.75,0.869, ,44.95746995,47.22069307
45.1839228,10.87038841,14036,03 00 44.09,+10 52 13.7,5.93,45.18372171,10.87047197,7.39,81.25,-34.38,0.82,1.593, ,45.1839228,10.87038841
45.21755767,52.35174424,14043,03 00 52.18,+52 21 06.5,5.24,45.21743352,52.35179769,4.1,31.2,-21.99,1.35,-0.049, ,45.21755767,52.35174424
45.29176726,-7.663011533,14060,03 01 09.97,-07 39 46.2,5.75,45.29152748,-7.66283629,10.71,97.77,-72.1,0.89,1.043, ,45.29176726,-7.66301153
45.40682262,-28.09155384,14086,03 01 37.45,-28 05 25.7,5.88,45.40604298,-28.09048221,32.94,282.98,-440.9,0.72,0.794, ,45.40682262,-28.09155384
45.47558905,26.46235385,14109,03 01 54.15,+26 27 44.4,5.91,45.47562665,26.46234187,15.24,-13.85,4.93,0.87,0.141, ,45.47558905,26.46235385
45.48382908,-9.961406687,14110,03 01 56.09,-09 57 41.0,5.84,45.48372163,-9.96139327,11.55,43.54,-5.52,0.76,1.092, ,45.48382908,-9.96140669
45.5643682,-71.9024567,14131,03 02 15.40,-71 54 09.0,5.51,45.56415553,-71.90249547,6.21,27.18,15.95,0.5,-0.125, ,45.5643682,-71.9024567
45.56988401,4.089733959,14135,03 02 16.78,+04 05 23.7,2.54,45.56991279,4.08992539,14.82,-11.81,-78.76,0.83,1.63,P,45.56988401,4.08973396
45.59382454,4.352884128,14143,03 02 22.51,+04 21 10.3,5.62,45.59378383,4.35287042,7.32,16.7,5.64,0.8,-0.107, ,45.59382454,4.35288413
45.59791746,-23.62447166,14146,03 02 23.59,-23 37 27.6,4.08,45.59830468,-23.62433613,37.85,-145.96,-55.76,0.69,0.163, ,45.59791746,-23.62447166
45.67614498,-7.685471779,14168,03 02 42.26,-07 41 07.7,5.32,45.6760804,-7.68546315,12.65,26.33,-3.55,0.89,0.941, ,45.67614498,-7.68547178
45.7327619,-46.97503638,14187,03 02 55.84,-46 58 30.2,5.81,45.73267366,-46.97504226,3.97,24.77,2.42,0.56,1.304, ,45.7327619,-46.97503638
45.90341436,-59.73777523,14240,03 03 36.90,-59 44 15.4,5.12,45.90376552,-59.73761994,23.67,-72.81,-63.89,0.48,0.349, ,45.90341436,-59.73777523
46.06881559,-7.600857024,14293,03 04 16.48,-07 36 03.2,5.26,46.06865515,-7.60089934,23.22,65.43,17.41,0.77,0.193, ,46.06881559,-7.60085702
46.19912802,53.50644013,14328,03 04 47.79,+53 30 23.2,2.91,46.19912598,53.50645031,12.72,0.5,-4.19,0.71,0.716, ,46.19912802,53.50644013
46.29413912,38.84027386,14354,03 05 10.50,+38 50 25.9,3.32,46.29373754,38.84053298,10.03,128.69,-106.61,0.83,1.528,P,46.29413912,38.84027386
46.3612078,25.25517451,14376,03 05 26.69,+25 15 18.7,5.45,46.36119708,25.25519906,8.11,3.99,-10.1,1.19,-0.031, ,46.3612078,25.25517451
46.38504744,56.70571907,14382,03 05 32.43,+56 42 20.0,4.77,46.38510717,56.7055481,15.95,-13.49,70.34,0.76,1.018, ,46.38504744,56.70571907
46.53267546,79.41853526,14417,03 06 07.95,+79 25 06.6,5.49,46.53313395,79.41851027,4.69,-34.64,10.28,0.72,1.569, ,46.53267546,79.41853526
46.59868993,13.18725028,14439,03 06 23.69,+13 11 14.6,5.64,46.59869819,13.18740263,10.21,-3.31,-62.68,0.82,1.087, ,46.59868993,13.18725028
46.63955128,-6.08855469,14456,03 06 33.49,-06 05 18.8,5.23,46.63953388,-6.08854227,6.1,7.12,-5.11,0.79,1.575,P,46.63955128,-6.08855469
46.82916106,64.05759405,14502,03 07 19.02,+64 03 27.4,5.89,46.8292369,64.05760178,5.85,-13.65,-3.18,0.64,-0.02, ,46.82916106,64.05759405
46.88392638,-78.9892445,14521,03 07 31.90,-78 59 21.9,5.67,46.88292015,-78.98942329,13.13,79.07,73.56,0.78,0.298,P,46.88392638,-78.9892445
47.04221485,40.9556477,14576,03 08 10.13,+40 57 20.3,2.09,47.04220716,40.9556512,35.14,2.39,-1.44,0.9,-0.003,W,47.04221485,40.9556477
47.26674871,49.61327752,14632,03 09 02.88,+49 36 48.6,4.05,47.26201363,49.61350009,94.93,1262.29,-91.53,0.67,0.595, ,47.26674871,49.61327752
47.37404785,44.8575437,14668,03 09 29.63,+44 51 28.4,3.79,47.37345463,44.85788896,29.05,173.01,-142.05,0.66,0.98, ,47.37404785,44.8575437
47.40309339,29.07708008,14677,03 09 36.73,+29 04 37.6,5.74,47.40303182,29.07711221,2.89,22.14,-13.22,1.05,0.115, ,47.40309339,29.07708008
47.66164025,11.87262694,14764,03 10 38.78,+11 52 21.7,5.97,47.6615639,11.87269252,6.24,30.74,-26.98,1.03,-0.061, ,47.66164025,11.87262694
47.82242336,39.61158237,14817,03 11 17.40,+39 36 41.7,4.61,47.82250605,39.61157075,10.69,-26.21,4.78,0.8,1.115, ,47.82242336,39.61158237
47.90735613,19.72667738,14838,03 11 37.67,+19 43 36.1,4.35,47.90695691,19.72669777,19.44,154.61,-8.39,1.23,1.033, ,47.90735613,19.72667738
47.9278047,81.47070965,14844,03 11 42.85,+81 28 14.6,5.92,47.92855231,81.47071191,16.13,-45.62,-0.93,0.53,0.149, ,47.9278047,81.47070965
47.98445775,74.39365924,14862,03 11 56.24,+74 23 37.9,4.85,47.98432711,74.39386878,20.15,14.46,-86.21,0.54,0.035, ,47.98445775,74.39365924
48.01886556,-28.98761809,14879,03 12 04.28,-28 59 20.8,3.8,48.01783332,-28.98910623,70.86,371.49,612.26,0.67,0.543, ,48.01886556,-28.98761809
48.05935964,27.25696838,14893,03 12 14.24,+27 15 25.2,5.78,48.05932746,27.25701296,8.78,11.77,-18.34,0.88,-0.106,P,48.05935964,27.25696838
48.10727749,-44.41966029,14913,03 12 25.68,-44 25 10.8,5.92,48.10699596,-44.41965395,22.83,82.73,-2.61,0.78,0.44,G,48.10727749,-44.41966029
48.10985486,6.660882918,14915,03 12 26.37,+06 39 39.2,5.55,48.10987466,6.66088598,4.18,-8.09,-1.26,0.86,1.011, ,48.10985486,6.66088292
48.13816688,-57.32154906,14930,03 12 33.14,-57 19 17.7,5.71,48.13808292,-57.32158199,2.48,18.65,13.55,0.56,2.419, ,48.13816688,-57.32154906
48.1934853,-1.196101207,14954,03 12 46.32,-01 11 45.4,5.07,48.19301506,-1.19593294,44.69,193.43,-69.23,0.75,0.575, ,48.1934853,-1.19610121
48.34947111,48.17695327,15004,03 13 23.86,+48 10 37.2,5.93,48.34940955,48.17699884,10.47,16.89,-18.75,0.68,0.972, ,48.34947111,48.17695327
48.72540048,21.04444121,15110,03 14 54.11,+21 02 40.7,4.87,48.72547816,21.04462873,9.59,-29.83,-77.15,1.06,-0.007, ,48.72540048,21.04444121
48.83515165,30.55668942,15154,03 15 20.45,+30 33 24.0,5.61,48.83519839,30.55667481,7.52,-16.56,6.01,0.83,0.012, ,48.83515165,30.55668942
48.94987707,57.14062036,15192,03 15 47.97,+57 08 26.3,5.79,48.94988581,57.14062522,2.02,-1.95,-2,0.8,0.644, ,48.94987707,57.14062036
48.95843559,-8.819729861,15197,03 15 50.03,-08 49 11.4,4.8,48.95844499,-8.8198405,27.18,-3.82,45.52,0.97,0.232, ,48.95843559,-8.81972986
48.99025199,-77.38845428,15201,03 15 57.36,-77 23 19.0,5.51,48.98899185,-77.38860498,34.02,113.2,62,0.51,0.438, ,48.99025199,-77.38845428
49.05084766,50.93766392,15219,03 16 12.20,+50 56 15.8,5.04,49.05085271,50.93771066,3.91,-1.31,-19.23,0.67,1.107, ,49.05084766,50.93766392
49.1466228,32.18401757,15241,03 16 35.19,+32 11 03.2,5.98,49.14663457,32.18421948,5.92,-4.1,-83.07,1.01,0.988,P,49.1466228,32.18401757
49.36081681,-47.75166403,15305,03 17 26.60,-47 45 06.3,5.84,49.36084175,-47.7517377,6.89,-6.9,30.31,0.58,1.228, ,49.36081681,-47.75166403
49.44234789,-62.57532203,15330,03 17 44.47,-62 34 36.8,5.53,49.43528798,-62.57689893,82.51,1337.83,648.71,0.54,0.641, ,49.44234789,-62.57532203
49.44064201,39.28337316,15334,03 17 45.74,+39 17 00.3,5.97,49.4405722,39.28341373,5.37,22.23,-16.69,0.76,0.056, ,49.44064201,39.28337316
49.4473059,44.02502428,15338,03 17 47.33,+44 01 30.3,5.49,49.44721595,44.02508193,5.06,26.61,-23.72,0.88,-0.06, ,49.4473059,44.02502428
49.51081436,-28.79707518,15357,03 18 02.49,-28 47 49.3,5.93,49.51038343,-28.797036,16.14,155.37,-16.12,0.73,0.337, ,49.51081436,-28.79707518
49.55341226,-62.50636301,15371,03 18 11.14,-62 30 28.6,5.24,49.54640411,-62.50793537,82.79,1331.1,646.84,0.53,0.6, ,49.55341226,-62.50636301
49.59209811,-22.51111801,15382,03 18 22.10,-22 30 40.1,4.86,49.59206509,-22.51114978,12.79,12.55,13.07,0.75,0.904, ,49.59209811,-22.51111801
49.5934401,-0.930288317,15383,03 18 22.28,-00 55 48.5,5.62,49.5928283,-0.93014105,14.68,251.68,-60.59,0.96,1.05, ,49.5934401,-0.93028832
49.65725554,50.22217425,15404,03 18 37.72,+50 13 20.0,5.16,49.65717026,50.22223526,6.18,22.45,-25.1,0.66,-0.073, ,49.65725554,50.22217425
49.67145547,-18.55979384,15411,03 18 41.07,-18 33 34.7,5.72,49.67113524,-18.55964006,27.33,124.9,-63.27,0.85,0.381, ,49.67145547,-18.55979384
