_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
2.933369278,-35.13311958,950,00 11 43.89,-35 08 00.2,5.24,2.93286698,-35.13339606,45.85,169.01,113.75,0.66,0.459, ,2.93336928,-35.13311958
3.041608251,-17.93827767,983,00 12 09.95,-17 56 17.6,5.29,3.04145374,-17.93821766,5.33,60.48,-24.69,0.87,1.478, ,3.04160825,-17.93827767
3.308970117,15.1835959,1067,00 13 14.15,+15 11 01.0,2.83,3.30895828,15.18361593,9.79,4.7,-8.24,0.81,-0.19, ,3.30897012,15.1835959
3.331757759,-84.99397839,1074,00 13 19.55,-84 59 38.5,5.78,3.3314522,-84.99402068,4,10.97,17.4,0.49,1.71, ,3.33175776,-84.99397839
3.378501567,41.03536964,1086,00 13 30.94,+41 02 08.6,5.71,3.37889713,41.03572671,28.57,-122.76,-146.91,0.74,0.331,P,3.37850157,41.03536964
3.426020162,-26.02234535,1096,00 13 42.22,-26 01 19.8,5.94,3.42591849,-26.02215399,3.22,37.59,-78.73,0.83,1.548, ,3.42602016,-26.02234535
3.615117526,-7.780532104,1158,00 14 27.59,-07 46 49.9,5.13,3.61496786,-7.78053784,5.21,61.01,2.36,0.79,1.601,P,3.61511753,-7.7805321
3.650685276,20.20670177,1168,00 14 36.11,+20 12 24.1,4.79,3.65045047,20.2066972,10.01,90.66,1.88,0.77,1.572, ,3.65068528,20.20670177
3.660066516,-18.93286561,1170,00 14 38.43,-18 55 57.7,4.44,3.66013628,-18.93268628,6.62,-27.15,-73.78,0.82,1.64,P,3.66006652,-18.93286561
3.727144774,-9.569571068,1191,00 14 54.50,-09 34 10.4,5.77,3.72708897,-9.56955053,9.4,22.64,-8.45,0.78,-0.084, ,3.72714477,-9.56957107
4.036942611,-31.4463941,1288,00 16 08.79,-31 26 46.8,5.66,4.0366068,-31.44632821,7.64,117.87,-27.11,0.83,1.35, ,4.03694261,-31.4463941
4.237681175,61.53318556,1354,00 16 57.05,+61 31 59.5,5.74,4.23771177,61.53319397,5.08,-6,-3.46,0.58,0.898, ,4.23768117,61.53318556
4.27290947,38.68163564,1366,00 17 05.54,+38 40 54.0,4.61,4.27306518,38.68167915,12.88,-50.01,-17.9,1.31,0.059, ,4.27290947,38.68163564
4.287682156,47.9474053,1372,00 17 09.04,+47 56 50.7,5.86,4.28766746,47.94741495,3.42,4.05,-3.97,0.65,-0.079, ,4.28768216,47.9474053
4.581903703,36.78522405,1473,00 18 19.71,+36 47 07.2,4.51,4.58210555,36.7853273,23.11,-66.51,-42.48,0.68,0.054, ,4.5819037,36.78522405
4.659406213,31.51722681,1493,00 18 38.22,+31 31 02.0,5.88,4.65924059,31.51723388,6,58.09,-2.91,0.77,-0.014, ,4.65940621,31.51722681
4.856977305,-8.823921452,1562,00 19 25.68,-08 49 25.8,3.56,4.85701265,-8.82382948,11.26,-14.37,-37.84,0.73,1.214, ,4.8569773,-8.82392145
5.017750517,-64.87479041,1599,00 20 01.91,-64 52 39.4,4.23,5.00797581,-64.8776232,116.38,1707.56,1165.36,0.64,0.576, ,5.01775052,-64.87479041
5.10167651,30.93561358,1630,00 20 24.39,+30 56 08.2,5.89,5.10163324,30.93561514,5.6,15.27,-0.64,0.73,-0.098, ,5.10167651,30.93561358
5.1494233,8.190271339,1645,00 20 35.86,+08 11 24.9,5.38,5.14943435,8.19024803,8.26,-4.5,9.59,0.81,1.343, ,5.1494233,8.19027134
5.162650586,-69.6249131,1647,00 20 39.04,-69 37 29.7,5.5,5.16267858,-69.62491154,10.65,-4.01,-0.64,0.51,-0.046, ,5.16265059,-69.6249131
